name,mainLink,categories,tags,location_address,contact_phone,description,demoLink,logo,pricingModel,lowestPrice,images,coupon_code,coupon_offer,contact_name,contact_email,video,location_latitude,location_longitude,socialMedia_x,socialMedia_facebook,socialMedia_instagram,socialMedia_linkedin,socialMedia_youtube,socialMedia_github
SPA 1899,http://spa1899.co.kr/en1899/,"Facials, Spas & Wellness",N/A,"416 Yeongdong-daero, Gangnam-gu, Seoul, B2, Daechi, Gangnam, Seoul",02-557-8030,N/A,https://expathealthseoul.com/listing/spa-1899-myeongdong.html,,,,,,,,,,,,,,,,,
Spa Day,http://spaday.co.kr/spaday.ver.3.1/bbs/content.php?co_id=program_face_eng,Spas,N/A,"70, Dokseodang-ro, Yongsan-gu, Yongsan-gu, Seoul, South Korea",02 793 0777,"Offering massage, hot stone massage, facials, med spa and more.",https://koreahealthpages.com/korea/spa-day.html,,,,,,,,,,,,,,,,,
Shinsegye Eye Center Uijeongbu,http://ssgeye.com/,"Eye Doctors, Ophthalmologists & Optometrists",N/A,"117 Siminro, Uijeongbu-si, Gyeonggido, South Korea",1599 7397,"US licensed opthalmologist. Eye specialists, ophthalmologists, LASIK surgeons, cataract surgery, glaucoma test, eye exams in Uijeongbu.",https://koreahealthpages.com/korea/shinsegye-eye-center-uijeongbu.html,,,,,,,,,,,,,,,,,
Seoul S Pain Clinic,http://sspainfree.com/,"Back Pain Specialists, Pain Management Clinics",N/A,"3160 Bangbae-dong, Seocho-gu, 5F, Bangbae, Seocho, Seoul",02 535 4170,N/A,https://expathealthseoul.com/listing/seoul-s-pain-clinic.html,,,,,,,,,,,,,,,,,
SUIN,http://suinstyle.com/suinstyle-eng/?ckattempt=1,Hair Extensions,N/A,"235-6 Nonhyeon-dong, Gangnam-gu, Gangnam, Seoul, South Korea",010 2171 0892,"SUIN is a premier salon in Gangnam, Seoul with hair color experts & great hair cuts & styles for men and women. Renowned as the home of natural-looking hair extensions.",https://koreahealthpages.com/korea/suin.html,,,,,,,,,,,,,,,,,
Morning ENT - Dizziness Test & Treatment,http://sungsuent.kr/,"Tinnitus, Vertigo",ENGLISH SPEAKING,"Steel Building, 113, Seongsu-ro, Seongdong-gu, Seoul, Seoul",02-2205-1151,"We perform some assessments to diagnose your allergy, vertigo and tinnitus. You may be referred to an audiologist, physical therapist, radiologist, or other expert for more specialized testing.",https://expathealthseoul.com/listing/morning-ent--dizziness-test-treatment.html,,,,,,,,,,,,,,,,,
Morning ENT Clinic - Free Kakao Consultation with Dr. Kim Kakao ID : sungsuent,http://sungsuent.kr/sub/sub0701.php,"Allergy Testing, ENT Specialists","Badge, ENGLISH SPEAKING","5F Hana bank building, 113 Seongsu-ro, Seongdong-gu, Seongdong-gu, Seoul, South Korea",02 2205 1151,"Our English-speaking otolaryngologists and audiologists treat a variety of ear, nose, or throat related issues including chronic sinusitis, ear infections, hearing loss, snoring, and sleep apnea.",https://koreahealthpages.com/korea/morning-ent-clinic.html,,,,,,,,,,,,,,,,,
Bongeunsa Temple,http://temple.bongeunsa.org/public_html_en/intro/buddhist.asp,Meditation,N/A,"Traditional Culture Center, Bongeunsa-Ro 531, Samseong, Gangnam, Seoul",02-3218-4826,"Located right in Seoul, you can conveniently go to Bongeunsa for meditation experience.",https://expathealthseoul.com/listing/bongeunsa-temple.html,,,,,,,,,,,,,,,,,
THANN SANCTUARY,http://thannspa.co.kr/,Spas,N/A,N/A,02-3443-8666,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/thann-sanctuary.html,,,,,,,,,,,,,,,,,
ZUM Oral & Maxillofacial Surgery,http://thebestoms.com/index_eng.html,"Corrective Jaw Surgery Korea, Double Jaw Surgery Korea, Oral & Maxillofacial Surgeons, Orthognathic Jaw Surgery, TMJ Treatment","ENGLISH SPEAKING, KAKAO BOOKING, WHATS APP","857, Nonhyeon-ro, Gangnam-gu, Seoul, Sinsa, Gangnam, Seoul",02 507 0700 / 010 4828 0700,JUM Oral and Maxillofacial Surgery Clinic is a Korean oral and maxillofacial surgery clinic and hospital dentistry where the professional oral and maxillofacial surgeons who are certified by the Ministry of Health and Welfare.,https://expathealthseoul.com/listing/zum-oral-maxillofacial-surgery.html,,,,,,,,,,,,,,,,,
The Door Plastic Surgery,http://thedoorps.com/,Plastic Surgery,N/A,"115 Teheranro, Gangnam-gu, 3F, Yeoksam, Gangnam, Seoul",02 6227 7500,The Door Plastic Surgery provides services ranging from surgical to non-surgical procedures.,https://expathealthseoul.com/listing/the-door-plastic-surgery.html,,,,,,,,,,,,,,,,,
The Gangchu Orthopedics,http://thegangchu.com/,"Physical Therapy, Spine Surgeons & Spine Hospitals",N/A,"364 Gangnamdaero, 4F, Yeoksam, Gangnam, Seoul",02 566 7300,N/A,https://expathealthseoul.com/listing/the-gangchu-orthopedics.html,,,,,,,,,,,,,,,,,
THE PLUS Plastic Surgery Clinic,http://theplus.asia/eng/,"Breast Augmentation, Double Eyelid Surgery, Plastic Surgery, Upper Blepharoplasty",ENGLISH SPEAKING,"Garosu-gil 9, Gangnam-gu, Seoul, 3F, Sinsa, Gangnam, Seoul",821040679641,The Plus Plastic Surgery provides premier plastic surgery and treatments to improve the shape and appearance of your face and body.,https://expathealthseoul.com/listing/the-plus-plastic-surgery-clinic.html,,,,,,,,,,,,,,,,,
The Seoul Dental Clinic Seongnam,http://theseoul.org/theme/case2/sub/en.php,Dentists,N/A,"1225 Seongnamdaero, Sujung-gu, Seongnam-si, Gyeonggido, Seongnam-si, South Korea",031 757 1525,Two English-speaking dentists graduated from Seoul National University.,https://koreahealthpages.com/korea/the-seoul-dental-clinic-seongnam.html,,,,,,,,,,,,,,,,,
The Skinny Clinic,http://theskinny.co.kr/#n,Liposuction & Liposculpture,N/A,"483 Gangnamdaero, Gangnam-gu, Gangnam, Seoul, South Korea",02 518 6540,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/the-skinny-clinic.html,,,,,,,,,,,,,,,,,
True Mind,http://truemind.co.kr/58,"ADD & ADHD Testing & Treatment, Psychiatrists",N/A,"141 Teheran-ro, Gangnam-gu, Seoul, Gangnam, Seoul, South Korea",02 568 0005,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/true-mind.html,,,,,,,,,,,,,,,,,
Torch Trinity Counseling Center,http://ttcc.ttgu.ac.kr/,"Psychologists, Counselors & Therapists",N/A,"55 Yangjae-dong, Seocho-gu, Seoul, Yangjae, Seocho, Seoul",02-2039-7150,"Psychological testing, individual and group counseling. 55 Yangjae-dong, Seocho-gu, Seoul",https://expathealthseoul.com/listing/torch-trinity-counseling-center.html,,,,,,,,,,,,,,,,,
UC Gangnam Dental Clinic,http://ucgangnam.com/,Dentists,N/A,"235-9, Nonhyeon-dong, Gangnam-gu, Seoul , 4th floor, Gangnam, Seoul, South Korea",02 3448 4524,"We offer dental services ranging from general dental check-ups, teeth whitenings and fillings to aesthetic procedures. Certificate of healthcare provider for international patients.",https://koreahealthpages.com/korea/uc-gangnam-dental-clinic.html,,,,,,,,,,,,,,,,,
ULINE Dental Clinic,http://ulineclinic.com/index.php?mid=page_spdX75,Orthodontists,N/A,"Hyowon Building, 97, Joongdae-ro, Songpa-gu, 4F, Songpa, Seoul",02 423 7528,"ULINE Orthodontics is a boutique family practice serving the community of Seoul. There are three locations in Gangnam, Songpa, Gwanak.",https://expathealthseoul.com/listing/uline-dental-clinic.html,,,,,,,,,,,,,,,,,
Gangnam St.Mary's Urology Clinic,http://urologyseoul.com/,"BPH, Benign Prostate Hypertrophy, HoLEP, Holmium Laser Enucleation of the Prostate, Prostate, Prostate Procedure, Prostate Surgery, Prostatic Urethral Lift using the Implantable Device, Rezum System, TURP, Transurethral Resection of Prostate, Transurethral Water Vaper Ablation of Prostate, Urolift System","Badge, ENGLISH SPEAKING, KAKAO BOOKING, WALK-IN CLINIC, WHATS APP","7th Fl. 559, Gangnam-daero, Seocho-gu, Seoul, Republic of Korea, Nonhyeon Station Exit 8, Gangnam, Seoul, South Korea",02 544 0175 / 010-2688-0175,"Dr.Sung runs a general urological clinic covering the full spectrum of urological, medical and surgical conditions. He welcomes both local & international patients.",https://koreahealthpages.com/korea/gangnam-stmarys-urology-clinic-66ebc67509155.html,,,,,,,,,,,,,,,,,
Vitamin Dental Clinic,http://vitamindental.com/,"Dental Clinics, Endodontists, Oral Pathologists, Periodontists, Prosthodontists",ENGLISH SPEAKING,"63 Gaebongro, Guro-gu, 2F, Seoul",02 2614 7522,N/A,https://expathealthseoul.com/listing/vitamin-dental-clinic.html,,,,,,,,,,,,,,,,,
VLIF Plastic Surgery,http://vlif.co.kr/,Plastic Surgery,N/A,"390 Gangnamdaero, Gangnam-gu, 10F, Yeoksam, Gangnam, Seoul",02 567 5255,VLIF Plastic Surgery specializes in a wide variety of cosmetic surgical procedures.,https://expathealthseoul.com/listing/vlif-plastic-surgery.html,,,,,,,,,,,,,,,,,
Seoul We Best Internal Medicine,http://webestclinic.com/,"Gastroenterologist, Internal Medicine",N/A,"87, Sangdong-ro, Bucheon-si, Gyeonggi-do, #704, 705, Gyeonggido",032 245 8800,N/A,https://expathealthseoul.com/listing/seoul-we-best-internal-medicine.html,,,,,,,,,,,,,,,,,
WELLKIN,http://wellkin.com/eng/index/,Scalp Care,N/A,"7, Gangnam-daero 53-gil, Seocho-gu, Seoul, Room 901, Seocho-gu, Seoul, South Korea",070 4896 4206,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/wellkin.html,,,,,,,,,,,,,,,,,
Wellton Hospital,http://wellton.co.kr/en/,"Joint Specialists, MRI Scans - Magnetic Resonance Imaging, Orthopedic Clinics & Hospitals",N/A,"318, Gangseo-ro, Gangseo-gu, Seoul, Gangseo, Seoul, South Korea",02 2690 2000,"Since 2003, Wellton hospital in Seoul has been specialized in joint treatment. Our orthopedic specialists offer surgical procedures to treat patients suffering from joint problems.",https://koreahealthpages.com/korea/wellton-hospital.html,,,,,,,,,,,,,,,,,
Winus Urology Clinic,http://winusuro.com,"Urologists, Walk-In STD Testing & HIV Test Clinics","BEST CLINIC, ENGLISH SPEAKING, VERIFIED, WALK-IN CLINIC","322 Wangsimni-ro, Seongdong-gu",02 2299 7887,"Dr. Chun is a board certified, English Speaking urologist.Fast and affordable testing. Testing can be done with or without insurance. STD Testing for herpes, chlamydia, gonorrhea, genital warts, syphilis and more. Walk-In clinic.",https://expathealthseoul.com/listing/winus-urology-clinic.html,,,,,,,,,,,,,,,,,
Winus Urology Clinic,http://winusuro.com/en,"STD Screening & Sexual Health, Urologists",N/A,"322 Wangsimni-ro, Seongdong-gu, Seoul, Seongdong-gu, Seoul, South Korea",02 2299 7887,"English speaking urologist based in Seoul. Bladder Issues, Overactive Urinary Bladder, Kidney Stones, Laparoscopic Surgery, Prostatitis, Urologic Emergencies, and STD/STI/HIV Testing.",https://koreahealthpages.com/korea/winus-urology-clinic.html,,,,,,,,,,,,,,,,,
With U Breast Clinic,http://withubreast.com/,Breast Imaging & Mammogram,N/A,"300 Omokro, Yangcheon-gu, 3F, Seoul",02 2642 6075,N/A,https://expathealthseoul.com/listing/with-u-breast-clinic.html,,,,,,,,,,,,,,,,,
Woongplant Dental Clinic,http://woongplant.com/eng/index.php,"Cosmetic Porcelain Veneers, Dental Implants, Teeth Whitening",N/A,"18, jongno-3, jongno-gu, Jongno-gu, Seoul, South Korea",02 765 0861,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/woongplant-dental-clinic.html,,,,,,,,,,,,,,,,,
Wooribone Orthopedic Hospital,http://wooribone.com/en/,Spine Surgeons & Spine Hospitals,N/A,"14, Cheonggyecheon-ro, Jung-gu, Seoul, Republic of Korea, 2nd Floor, Gwanghwamun, Seoul",02 755 8575,Wooribone Orthopedic Hospital is specialized in non-surgical treatment of spine and joint disease and minimal invasive spine surgery.,https://expathealthseoul.com/listing/wooribone-orthopedic-hospital.html,,,,,,,,,,,,,,,,,
Wooridul Hospital,http://wooridul.com/,"Back Pain, Spine Specialists",N/A,"445, Hakdong-ro, Gangnam, Seoul, South Korea",02 513 8452,"Our collaborative team includes spinal surgeons, non-operative spine specialists, orthopedics, internal medicine specialists, physical therapists, radiologists and pain management experts.",https://koreahealthpages.com/korea/wooridul-hospital.html,,,,,,,,,,,,,,,,,
W Style Dental Clinic,http://wstyle.kr/,Dentists,N/A,"341 Baekbeom-ro, Wonhyoro 1(il)-dong, Yongsan-gu, Seoul, South Korea",02 704 8275,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/w-style-dental-clinic.html,,,,,,,,,,,,,,,,,
24 Clinic Jamsil,http://www.24clinic.kr/,365 Day Open Clinics,N/A,"187 Baekjegobunro, Songpa-gu, 2F, Jamsil, Songpa, Seoul",02 415 2475,365 days open till 24:00.,https://expathealthseoul.com/listing/24-clinic-jamsil.html,,,,,,,,,,,,,,,,,
From Sweden 2 Seoul,http://www.2sseoul.com/,"Facials, Spas",N/A,"664-14 Sinsa-dong, Gangnam, Seoul, South Korea",02 514 6757,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/from-sweden-2-seoul.html,,,,,,,,,,,,,,,,,
365 Hang Clinic,http://www.365hang.co.kr/,"Colon & Rectal Surgeons, Varicose & Spider Vein Specialists",N/A,"333 Dobongro, Gangbuk-gu, Seoul, 8F, Seoul",02 900 0365,N/A,https://expathealthseoul.com/listing/365-hang-clinic.html,,,,,,,,,,,,,,,,,
365 Medical Clinic,http://www.365medical.co.kr/,"365 Day Open Clinics, Internal Medicine, Pediatricians",N/A,"664 Olympic-ro, Gangdong-gu, Seoul, 3F, #303, Gangdong, Seoul",02 478 0365,Open on Sundays.,https://expathealthseoul.com/listing/365-medical-clinic.html,,,,,,,,,,,,,,,,,
365 Reset,http://www.365reset.co.kr/,Liposuction & Liposculpture,N/A,"163 Gwongwangro, Paldal-gu, Suwonsi, Gyeonggido, Suwon, South Korea",031 238 3655,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/365-reset.html,,,,,,,,,,,,,,,,,
Myeongdong St. Mary's Eye Center,http://www.4eye.co.kr/,"Eye Doctors, Ophthalmologists & Optometrists",N/A,"26 Myeongdong-gil, Jung-gu, Seoul, Jung-gu, Seoul, South Korea",02 319 9300,Myeongdong St. Mary's Eye Center is one of the most reputable LASIK eye surgery practices in the Seoul metropolitan areas.,https://koreahealthpages.com/korea/myeongdong-st-marys-eye-center.html,,,,,,,,,,,,,,,,,
Adams Clinic,http://www.adamsclinic.co.kr/ENG/,"Erectile Dysfunction Treatment, Penile Implant Specialists, Penis Enlargement",ENGLISH SPEAKING,"158-23 Samseong-dong, Gangnam-gu, Samseong, Gangnam, Seoul",02 539 7575,Penis enlargement specialist in Gangnam.,https://expathealthseoul.com/listing/adams-clinic.html,,,,,,,,,,,,,,,,,
Happiness Research,http://www.affairtherapy.co.kr/,"Psychologists, Counselors & Therapists",N/A,"213 Dosandaero, Gangnam-gu, Seoul, 3F, Sinsa, Gangnam, Seoul",02 418 3003,"English speaking counselors for couple and individual. Contact: [email protected]. 213 Dosandaero, Gangnam-gu, Seoul.",https://expathealthseoul.com/listing/happiness-research.html,,,,,,,,,,,,,,,,,
Agaon Fertility Clinic,http://www.agaon.co.kr/,Fertility Clinics & IVF Specialists,N/A,"1124-72 Guro 3(sam)-dong, Guro-gu, Guro-gu, Seoul, South Korea",02 864 7500,Seoul reproductive center IVF and fertility experts.,https://koreahealthpages.com/korea/agaon-fertility-clinic.html,,,,,,,,,,,,,,,,,
Apgujeong Eye Clinic,http://www.agjeye.com/,"Eye Doctors, Ophthalmologists & Optometrists",N/A,"597 Gangnamdae-ro, Seocho-gu, Seoul, Seocho-gu, Seoul, South Korea",02 3416 1001,"Apgujeong Eye Clinic is the leading provider of LASIK, LASEK, cataracts, glaucoma, and many other eye care services.",https://koreahealthpages.com/korea/apgujeong-eye-clinic.html,,,,,,,,,,,,,,,,,
Amici,http://www.amici.co.kr/,Scalp Care,N/A,"171 KCC Welts Tower, Singongdeok-dong, Mapo-gu, Seoul, Room 204, Mapo-gu, Seoul, South Korea",02 - 718 - 1045,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/amici.html,,,,,,,,,,,,,,,,,
Arumdaun Nara Dermatology Clinic,http://www.anaclienglish.com/,"CO2 Laser Resurfacing, Cosmetic Dermatology & Skin Care Clinics, Dermatologists, Keloid Removal Treatment",N/A,"MiJin Plaza, 390, Gangnam-daero, Gangnam-gu, Seoul, 12F, Yeoksam, Gangnam, Seoul",02 3420 2209,"Arumdaun Nara Dermatology Clinic specializes in treating acne and acne cysts, hair loss, warts, and other disorders. Injectable dermal fillers, Ultherapy skin tightening, and Botox® are also available.",https://expathealthseoul.com/listing/arumdaun-nara-dermatology.html,,,,,,,,,,,,,,,,,
Anamo,http://www.anamo.co.kr/,Microblading & Eyebrow Tattoo,N/A,"1330-20 Seocho-dong, Seocho-gu, Seocho-gu, Seoul, South Korea",02 553 7573,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/anamo.html,,,,,,,,,,,,,,,,,
Apple Psychiatric Clinic,http://www.appletree-i.com/sub_notice_board_view.php?rec_no=33,Psychiatrists,N/A,"665 Olympicdae-ro, Gangdong-gu,, Gangdong-gu, Seoul, South Korea",02 482 5275,Specialized in kids and adolescent psychiatry.,https://koreahealthpages.com/korea/apple-psychiatric-clinic.html,,,,,,,,,,,,,,,,,
April31 Plastic Surgery Clinic,http://www.april31.com/en/,"Facial Contouring Surgery, Fat Transfer, Plastic Surgery, V Line Surgery & Jaw Reduction",ENGLISH SPEAKING,"707 Nonhyeon-ro, Gangnam-gu, Seoul, Korea, Nonhyeon, Gangnam, Seoul",#ERROR!,April31 Plastic Surgery Clinic offers a full spectrum of surgical & non-surgical plastic surgery procedures. We offer a wide range of Plastic Surgery Procedures including Cosmetic Procedures.,https://expathealthseoul.com/listing/april31-plastic-surgery-clinic.html,,,,,,,,,,,,,,,,,
A_pro Yoga School,http://www.aproyoga.com/,Yoga Studios,N/A,"30, Pungnyeon Building, Sinbanpo-ro 47-gil, Seocho-gu, Seoul, 4F, Jamwon, Seocho, Seoul",02 514 5776,N/A,https://expathealthseoul.com/listing/apro-yoga-school.html,,,,,,,,,,,,,,,,,
Myeongdong Arumdaun Dental Clinic,http://www.ardu.co.kr/in/in0201.php,Dentists,N/A,"108 Toegye-ro, Jung-gu, Seoul, 8th floor, Jung-gu, Seoul, South Korea",02 777 0020,U.S Virginia dental licensed dentist.,https://koreahealthpages.com/korea/myeongdong-arumdaun-dental-clinic.html,,,,,,,,,,,,,,,,,
Asan U Breast Clinic,http://www.asanuclinic.com/,Breast Imaging & Mammogram,N/A,"402-3 Pungnap-dong, Songpa-gu, #201, Songpa, Seoul",02-489-2114 / 02-489-3114 / 02-489-4114,Breast biopsies are performed by surgeon in Seoul using a small needle and image guidance via mammography or ultrasound.,https://expathealthseoul.com/listing/asan-u-breast-clinic.html,,,,,,,,,,,,,,,,,
ATOP Plastic Surgery,http://www.atopps.com/en/00_main/main.php,"Double Eyelid Surgery, Plastic Surgery Clinics Korea",ENGLISH SPEAKING,"105 Teheran-ro, Gangnam, Seoul, South Korea",010 7259 6012,ATOP Plastic Surgery specializes in an array of plastic surgery procedures to help one achieve her individual goals.,https://koreahealthpages.com/korea/atop-plastic-surgery-5ec33d75a3ab1.html,,,,,,,,,,,,,,,,,
Balance Dental Hospital Bundang,http://www.balancedental.kr/,Dentists,N/A,"117 Bundangnaegok-ro, Bundang-gu, Seongnam-si, Gyeonggido, Seongnam-si, South Korea",031 622 7528,"A team of English-speaking dentists in Pangyo, Bundang.",https://koreahealthpages.com/korea/balance-dental-hospital-bundang.html,,,,,,,,,,,,,,,,,
Barungil Orthopedics,http://www.barunortho.com/,"Orthopedic Clinics & Hospitals, Sports Medicine",ENGLISH SPEAKING,"408 Dogokro, Gangnam-gu, Gangnam, Seoul, South Korea",Visit Website,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/barungil-orthopedics.html,,,,,,,,,,,,,,,,,
The Up Plastic Surgery Clinic,http://www.bdmi.co.kr/eng/index.php,"Double Eyelid Surgery, Plastic Surgery Clinics Korea",N/A,"15F, 121 Teheran-ro, Gangnam-gu, Seoul, Gangnam, Seoul, South Korea",02 6335 0111,The Up Plastic Surgery Clinic in Gangnam provides highly specialized plastic surgery.,https://koreahealthpages.com/korea/the-up-plastic-surgery-clinic.html,,,,,,,,,,,,,,,,,
Beauty Well U Surgery Clinic,http://www.beauty-wellbreast.co.kr/,"Breast Imaging & Mammogram, Gynecomastia & Male Breast Reduction",N/A,"183 Giljuro, Bucheon-si, Gyeonggido, 6th floor",032 719 8288,"Total breast center. Gynecomastia, breast reduction surgery, mammography, breast ultrasound breast imaging.",https://expathealthseoul.com/listing/beauty-well-u-surgery-clinic.html,,,,,,,,,,,,,,,,,
The Belle Spa,http://www.bellespa.co.kr/,"Facials, Spas & Wellness",N/A,"119 Sogongro, Jung-gu, 15F, Junggu, Seoul",02 310 7800,N/A,https://expathealthseoul.com/listing/the-belle-spa.html,,,,,,,,,,,,,,,,,
BeneFactory,http://www.benefactory.me/,"Medical Concierge Services, Medical Tourism Agencies",ENGLISH SPEAKING,"518 Nonhyeon-ro, Gangnam-gu, B204, Yeoksam, Gangnam, Seoul",010-4210-5282,N/A,https://expathealthseoul.com/listing/benefactory.html,,,,,,,,,,,,,,,,,
Bethel Dermatology Clinic,http://www.bethelskin.com/,"Acne Treatment, Botox, Chemical Peel Treatment, Dermal Fillers, Dermatologists",ENGLISH SPEAKING,"310 Bongeunsaro, Gangnam-gu, 5F, Yeoksam, Gangnam, Seoul",02-532-3110,"Bethel Dermatology Clinic is dedicated to the comprehensive medical management of teenage and adult acne. Botox, dermal fillers and more.",https://expathealthseoul.com/listing/bethel-dermatology-clinic.html,,,,,,,,,,,,,,,,,
BIO FACE Clinic,http://www.bioface.kr/Why_bioface/Why_bioface_eng?ckattempt=1,"Anti Aging & Aesthetic Clinics, Dermal Fillers, Ultherapy & Thermage",N/A,"605, Gangnam-daero, Seocho-gu, Seoul, 10F, Jamwon, Seocho, Seoul",1833 8838,"Filler Center, Lifting Center, Skin Booster Center, Slimming Center, Skin Center and Private VIP Center.",https://expathealthseoul.com/listing/bio-face-clinic.html,,,,,,,,,,,,,,,,,
Shu Eyelash,http://WWW.BLOG.NAVER.COM/Shu_Eyelash,Eyelash Extensions,N/A,"Hannam Bldg. 211, Itaewon-ro, Yongsan-gu, Seoul, 4F, Yongsan-gu, Seoul, South Korea",010 9188 0506,"Cost of Kojic Acid Therapy in Korea: Price Guide & Best Clinics in Seoul How Much Does Kojic Acid Therapy Cost in Korea? Kojic acid therapy is a widely sought-after skin-brightening treatment that helps reduce hyperpigmentation, melasma, dark spots, and uneven skin tone. Derived from natural sources like fer...",https://koreahealthpages.com/korea/shu-eyelash.html,,,,,,,,,,,,,,,,,
Blue Ridge,http://www.blueclinic.co.kr/,"Laser Hair Removal, Medical Spa & Skin Clinics, Thermage Treatment, Ultherapy & Thermage",N/A,"78 Kukjegeumyungro, Yeongdeungpo-gu, Yeongdeungpo-gu, Seoul, South Korea",02 783 7501,"Blue Ridge offers laser hair removal, dermal fillers, skin tightening, customized facials, botox, and mole removal.",https://koreahealthpages.com/korea/blue-ridge.html,,,,,,,,,,,,,,,,,
Bobath Memorial Hospital,http://www.bobath.co.kr/en/,Hospitals,N/A,"155-7 Daewangpangyo-ro, Bundang-gu, , Seongnam-si, South Korea",031 8039 2163,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/bobath-memorial-hospital.html,,,,,,,,,,,,,,,,,
Be okay Dental Clinic,http://www.bokdental.co.kr/,Dentists,N/A,"208 Apgujeong-ro, Gangnam-gu, Seoul, Gangnam, Seoul, South Korea",02 515 2828,"Dr. Bok Graduated from Pennsylvania Dental University and acquired dental license in Pennsylvania, New Jersey, Nebraska and Korea.",https://koreahealthpages.com/korea/dr-bok-dental-clinic.html,,,,,,,,,,,,,,,,,
Bongsoon’s Eyebrow Tattoo,http://www.bs2eyebrow.com/en/,"Iisan tattoo shop, Korea tattoo shop, Korean tattoo artists, Microblading & Eyebrow Tattoo, Seoul tattoo shop, Tattoo Parlors in Hongdae, Tattoo Shops",N/A,"11, Moraenae-ro 3-gil, Mapo-gu, Mapo-gu, Seoul, South Korea",Visit Website,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/bongsoons-eyebrow-tattoo.html,,,,,,,,,,,,,,,,,
